STT,Giới tính sinh học,Bản dạng giới,Hấp dẫn tình cảm,Đối tượng hấp dẫn tình dục,Xu hướng tính dục (lần 1),Bạn có muốn xác định rõ thêm cho xu hướng tình cảm ,Bạn có thể bắt đầu mối quan hệ tình cảm với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng bắt đầu một mối quan hệ tình cảm một lần không?,Bạn nghĩ bạn được hấp dẫn tình cảm bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi bắt đầu một mối quan hệ hay không?",Bạn có muốn xác định rõ thêm cho xu hướng tình dục?,Bạn có thể quan hệ tình dục với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng quan hệ tình dục một lần không?,Bạn nghĩ bạn được hấp dẫn tình dục bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi quan hệ tình dục hay không?",Xu hướng tính dục
322,Nam ,Nữ,Không,Nam,Chuyển giới Nữ vô ái dị tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái dị tính
323,Nam ,Nữ,Không,Nam,Chuyển giới Nữ vô ái dị tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái dị tính
324,Nam ,Nữ,Không,Nam,Chuyển giới Nữ vô ái dị tính,không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái dị tính
325,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
326,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
327,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
328,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
329,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
330,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
331,Nam ,Nữ,Không,Nam và Nữ,Chuyển giới Nữ vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
332,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
333,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
334,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
335,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
336,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
337,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
338,Nam ,Nữ,Không,Nam và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
339,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
340,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái song tính
341,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
342,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
343,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
344,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái song tính
345,Nam ,Nữ,Không,Nữ và giới khác (2 giới),Chuyển giới Nữ vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái song tính
346,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái toàn tính
347,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ á ái toàn tính
348,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái toàn tính
349,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái toàn tính
350,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ vô ái toàn tính
351,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Có,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nữ bán vô ái toàn  tính
352,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Chuyển giới Nữ vô ái toàn tính (mù giới)
353,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Chuyển giới Nữ vô ái toàn tính (không mù giới)
354,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ vô ái đa tính
355,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ vô ái toàn tính
356,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,Chuyển giới Nữ á ái toàn tính (mù giới)
357,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Không,Chuyển giới Nữ á ái toàn tính (không mù giới)
358,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ á ái đa tính
359,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,Chuyển giới Nữ á ái toàn tính (mù giới)
360,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Không,Chuyển giới Nữ á ái toàn tính (không mù giới)
361,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ á ái đa tính
362,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,chuyển giới Nữ bán vô ái toàn tính (mù giới)
363,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Không,Chuyển giới Nữ bán vô ái toàn tính (không mù giới)
364,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ bán vô ái đa tính
365,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,Chuyển giới Nữ vô ái toàn tính (mù giới)
366,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Không,Chuyển giới Nữ vô ái toàn tính (không mù giới)
367,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ vô ái đa tính
368,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,Chuyển giới Nữ vô ái toàn tính (mù giới)
369,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Không,Chuyển giới Nữ vô ái toàn tính (không mù giới)
370,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Không,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Nhiều hơn hai giới,Bỏ,Chuyển giới Nữ vô ái đa tính
371,Nam ,Nữ,Không,Nhiều hơn hai giới ,Chuyển giới Nữ vô ái toàn tính,Có,Có,Có,Bỏ,Bỏ,Có,Bỏ,Bỏ ,Tất cả các giới,Có,Chuyển giới Nữ bán vô ái toàn tính (mù giới)
372,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ đồng ái á tính
373,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ đồng ái ái á tính
374,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ đồng ái bán vô tính
375,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ đồng ái vô tính
376,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ đồng ái vô tính
377,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ đồng ái bán vô tính
378,Nam ,Nữ,Nữ,Không,Chuyển giới Nữ đồng ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ đồng ái vô tính
379,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ dị ái á tính
380,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ dị ái á tính
381,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ dị ái bán vô tính
382,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ dị ái vô tính
383,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ dị ái vô tính
384,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ dị ái bán vô tính
385,Nam ,Nữ,Nam,Không,Chuyển giới Nữ dị ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ dị ái vô tính
386,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái á tính
387,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái ái á tính
388,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
389,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
390,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
391,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
392,Nam ,Nữ,Nam và Nữ,Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
393,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái á tính
394,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái ái á tính
395,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
396,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
397,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
398,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
399,Nam ,Nữ,Nam và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
400,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái á tính
401,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái ái á tính
402,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
403,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
404,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
405,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ song ái bán vô tính
406,Nam ,Nữ,Nữ và giới khác (2 giới),Không,Chuyển giới Nữ song ái vô tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ song ái vô tính
407,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái á tính
408,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái ái á tính
409,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái bán vô tính
410,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái vô tính
411,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái vô tính
412,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái bán vô tính
413,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ toàn ái vô tính
414,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) vô tính
415,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) vô tính
416,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Không,Bỏ,Bỏ ,Bỏ,Bỏ,Chuyển giới Nữ đa ái vô tính
417,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) á tính
418,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) á tính
419,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) bán vô tính
420,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) vô tính
421,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) vô tính
422,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (mù giới) bán vô tính
423,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) á tính
424,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) á tính
425,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) bán vô tính
426,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) vô tính
427,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) vô tính
428,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nữ toàn ái (không mù giới) bán vô tính
429,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nữ đa ái á tính
430,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nữ đa ái á tính
431,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nữ đa ái bán vô tính
432,Nam ,Nữ,Nhiều hơn hai giới ,Không,Chuyển giới Nữ toàn ái vô tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nữ đa ái vô tính
